county_fips,lt_debt_outstanding_end,rev_property_tax
01001,12.09,5.254
01003,90.653,34.59
01005,1.242,2.129
01007,3.986,1.979
01009,,5.974
01011,1.23,1.65
01013,4.155,2.802
01015,5.862,11.566
01017,,3.792
01019,13.46,3.513
01021,4.0,9.838
01023,3.865,1.855
01025,8.909,3.405
01027,3.033,1.592
01029,1.957,1.297
01031,5.381,6.091
01033,5.345,6.131
01035,7.195,2.45
01037,1.898,1.458
01039,11.075,5.315
01041,6.424,1.541
01043,31.227,9.872
01045,,5.062
01047,3.86,4.758
01049,11.245,4.204
01051,1.291,7.917
01053,0.556,3.582
01055,,11.593
01057,4.917,2.36
01059,8.028,4.343
01061,2.01,5.423
01063,5.225,1.2
01065,2.795,1.948
01067,0.836,1.646
01069,21.64,17.183
01071,0.608,5.685
01073,2638.025,119.607
01075,2.623,1.903
01077,0.39,10.827
01079,11.2,1.844
01081,24.442,16.888
01083,10.3,12.061
01085,16.388,3.07
01087,5.585,1.684
01089,19.786,48.58
01091,,2.776
01093,12.708,1.136
01095,7.975,8.762
01097,149.629,82.244
01099,10.179,3.106
01101,47.998,22.426
01103,,16.75
01105,12.398,1.559
01107,2.24,2.568
01109,6.995,4.424
01111,1.956,2.443
01113,15.99,5.607
01115,29.71,9.341
01117,53.095,26.943
01119,3.788,1.818
01121,25.47,11.047
01123,9.435,5.332
01125,,29.542
01127,17.88,5.304
01129,4.936,2.369
01131,9.05,3.048
01133,9.725,2.637
02013,9.605,1.537
02060,0.424,4.8
02068,,2.371
02090,164.673,121.212
02100,,3.021
02122,118.032,69.274
02130,33.185,9.137
02150,105.095,15.694
02164,16.005,5.13
02170,351.942,124.652
02185,293.895,399.237
02188,47.58,4.65
02195,15.234,3.38
02230,21.273,1.997
02282,,0.504
04001,6.94,12.98
04003,,33.384
04005,0.03,21.138
04007,5.817,26.739
04009,26.34,4.835
04011,,3.832
04012,15.364,5.553
04013,263.629,592.884
04015,14.797,51.604
04017,14.879,12.132
04019,1126.164,460.684
04021,163.577,94.984
04023,41.395,15.616
04025,20.853,54.756
04027,38.758,44.187
05001,0.112,3.15
05003,0.088,2.044
05005,0.39,3.409
05007,5.124,33.09
05009,,1.632
05011,0.134,1.248
05013,0.042,1.102
05015,0.251,4.665
